gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1424567323	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid177159	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-23.04125	29.04125							2008-05-02T02:00Z	2	5	2008	2480384	2480384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid177159		Mr A. Marx	CC_BY_4_0		Mr A. Marx			2017-01-14T16:14Z		GEODETIC_DATUM_ASSUMED_WGS84
1411752562	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS413632076	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Maasai Mara NR--Siana Springs (formely Cottar's Camp)	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.49912	35.4158							2005-11-07T01:00Z	7	11	2005	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS413632076			CC0_1_0		obsr486435			2016-11-26T17:36Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1411697229	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS412683021	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Masaai Mara NR--Mara River (North)	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.32833	34.99265							2005-11-06T01:00Z	6	11	2005	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS412683021			CC0_1_0		obsr486435			2016-11-26T17:31Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1411652810	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS413033616	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Mara River--Mara River Camp	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.20734	35.04135							1989-07-23T02:00Z	23	7	1989	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS413033616			CC0_1_0		obsr122899			2016-11-26T17:28Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1411631368	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS412432947	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	ET	Dola-Mena	e2e717bf-551a-4917-bdc9-4fa0f342c530	6.36089	39.84415							2014-04-14T02:00Z	14	4	2014	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS412432947			CC0_1_0		obsr666761			2016-11-26T17:26Z		TAXON_MATCH_FUZZY
1411629911	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS412435868	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	ET	Carsa Dek (general area)	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.21642	39.90094							2014-04-15T02:00Z	15	4	2014	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS412435868			CC0_1_0		obsr666761			2016-11-26T17:26Z		TAXON_MATCH_FUZZY
1411620724	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS412933910	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Masai Mara National Reserve	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.40263	35.0228							2005-11-06T01:00Z	6	11	2005	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS412933910			CC0_1_0		obsr486435			2016-11-26T17:25Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1411619215	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS412879813	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	TZ	Tarangire NP	e2e717bf-551a-4917-bdc9-4fa0f342c530	-3.99133	36.00014							2012-07-05T02:00Z	5	7	2012	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS412879813			CC0_1_0		obsr86424			2016-11-26T17:25Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1411616203	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS412874439	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	UG	Lake Mburo NP	e2e717bf-551a-4917-bdc9-4fa0f342c530	-0.63223	30.96503							2003-09-29T02:00Z	29	9	2003	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS412874439			CC0_1_0		obsr284567			2016-11-26T17:25Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1411614251	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS412868239	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	UG	Lake Mburo NP	e2e717bf-551a-4917-bdc9-4fa0f342c530	-0.63223	30.96503							2003-09-28T02:00Z	28	9	2003	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS412868239			CC0_1_0		obsr284567			2016-11-26T17:25Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
