gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1424691466	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9280599	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-33.79125	18.374583							2017-01-07T01:00Z	7	1	2017	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9280599		Ms B Braimoh	CC_BY_4_0		Ms B Braimoh			2017-01-14T16:40Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1424677282	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9262165	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-34.374583	18.957917							2017-01-04T01:00Z	4	1	2017	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9262165		Mrs D. Andrag	CC_BY_4_0		Mrs D. Andrag			2017-01-14T16:40Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1424668870	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9252927	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-33.707917	26.54125							2016-12-29T01:00Z	29	12	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9252927		Mr C Groenewald	CC_BY_4_0		Mr C Groenewald			2017-01-14T16:39Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1424653197	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9235233	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-34.374583	18.874583							2016-12-26T01:00Z	26	12	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9235233		Mr S Theron	CC_BY_4_0		Mr S Theron			2017-01-14T16:39Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1424640441	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9219451	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-33.79125	18.374583							2016-12-30T01:00Z	30	12	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9219451		Ms B Braimoh	CC_BY_4_0		Ms B Braimoh			2017-01-14T16:39Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1424627826	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9204198	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-34.374583	18.874583							2016-12-28T01:00Z	28	12	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9204198		Mr P Verster	CC_BY_4_0		Mr P Verster			2017-01-14T16:39Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1424623337	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9197472	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-33.79125	18.374583							2016-12-24T01:00Z	24	12	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9197472		Ms B Braimoh	CC_BY_4_0		Ms B Braimoh			2017-01-14T16:39Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1424618250	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9191414	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-34.124583	18.79125							2016-12-24T01:00Z	24	12	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9191414		Mr A Hester	CC_BY_4_0		Mr A Hester			2017-01-14T16:39Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1424606138	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9176673	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-33.79125	25.707917							2016-12-22T01:00Z	22	12	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9176673		Dr P Martin	CC_BY_4_0		Dr P Martin			2017-01-14T16:38Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1424605828	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9176394	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-33.79125	18.374583							2016-12-20T01:00Z	20	12	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9176394		Mr C Carstens	CC_BY_4_0		Mr C Carstens			2017-01-14T16:38Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1424572546	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9136355	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-33.79125	18.374583							2016-12-15T01:00Z	15	12	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9136355		Ms B Braimoh	CC_BY_4_0		Ms B Braimoh			2017-01-14T16:38Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1423617797	2fd17f41-80ef-4c15-ac48-63ca89f4bb16	urn:catalog:adu:CWAC:505971-2	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-32.08926	18.30181							2016-10-20T02:00Z	20	10	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	CWAC	urn:catalog:adu:CWAC:505971-2	505971:2		CC_BY_NC_4_0		Mr Y. Chesselet			2017-01-05T10:53Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1416779048	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9115926	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-32.29125	18.29125							2016-12-04T01:00Z	4	12	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9115926		Prof. P. Ryan	CC_BY_4_0		Prof. P. Ryan			2016-12-15T16:20Z		GEODETIC_DATUM_ASSUMED_WGS84
1416777907	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9114284	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-34.20792	18.45792							2016-12-05T01:00Z	5	12	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9114284		Mr M Cronje	CC_BY_4_0		Mr M Cronje			2016-12-15T16:20Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1416769186	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9102537	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-33.79125	18.37458							2016-12-09T01:00Z	9	12	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9102537		Ms B Braimoh	CC_BY_4_0		Ms B Braimoh			2016-12-15T16:19Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1416763811	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9096516	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-34.20792	18.45792							2016-11-22T01:00Z	22	11	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9096516		Mr S. Fogarty	CC_BY_4_0		Mr S. Fogarty			2016-12-15T16:19Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1416762044	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9094268	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-34.37458	18.87458							2016-12-04T01:00Z	4	12	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9094268		Mr M. Pretorius	CC_BY_4_0		Mr M. Pretorius			2016-12-15T16:19Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1416737483	906e6978-e292-4a8b-9c39-adf6bb0f3323	urn:adu:sabap2:rid9064460	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA		dd862d06-e6e9-4ab9-bc86-c875cc148c1f	-34.37458	18.87458							2016-11-30T01:00Z	30	11	2016	5229384	5229384	HUMAN_OBSERVATION	ADU	SABAP2	urn:adu:sabap2:rid9064460		Mr A J Featherstone	CC_BY_4_0		Mr A J Featherstone			2016-12-15T16:19Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
