Site,num,lat,long
Admirality Street,1,55.97615153,-3.178911209
Allison Park ,2,55.95463011,-3.410053253
Ardshiel Avenue (Torrence Park),3,55.953523,-3.29278
Bailie Place (Rear Nos. 1-5),4,55.943291,-3.111828
Balgreen Park,5,55.94174996,-3.257102966
Barony Playarea ,6,55.95852214,-3.190927505
Bingham Park,7,55.94035596,-3.1229496
Blackford Pond,8,55.92564376,-3.19393158
Bloomiehall Park,9,55.90505654,-3.291006088
Boswall/Royston Mains Gardens,10,55.976224,-3.231857
Broomhouse Centre,11,55.92852895,-3.278646469
Broomhouse Grove,12,55.928133,-3.278682
Broughton Road,13,55.96419132,-3.194103241
"Brown Street, Pleasance",14,55.94540298,-3.180112839
Buckstone Circle,15,55.90443105,-3.195991516
Burdiehouse Burn Valley Park ,16,55.9013516,-3.150072098
NA,17,55.95129407,-3.292150222
Calder Park play area,18,55.91913928,-3.295512199
Campbell Park,19,55.90496031,-3.273496628
Carlowrie Crescent,20,55.98037754,-3.37220192
Clermiston Park,21,55.9569846,-3.287315369
Clovenstone Gardens,22,55.912669,-3.272047
Clovenstone Park (Block 40),23,55.91164756,-3.270149231
Colinton Mains Park,24,55.9111665,-3.226976395
Craigentinny Ball Court,25,55.95924285,-3.145093918
Craigevar Square,26,55.94766191,-3.305339813
Craigmillar Castle Park,27,55.92718255,-3.145437241
Craigpark Crescent play area,28,55.92121939,-3.386836052
Cramond Walled Garden,29,55.977064,-3.297958374
Dalmeny Street park,30,55.964045,-3.172564
Davidson's Mains Park,31,55.96395112,-3.27881813
Dean Park Play area ,32,55.87945157,-3.344306946
Dolphins Gardens West,33,55.89475883,-3.320274353
Drum Park,34,55.90659615,-3.129644394
"Dumbeg Park, off Harvesters Way",35,55.9129945,-3.280835152
Dumbiedykes,36,55.947694,-3.177803
Dumbryden Gardens (No. 1-17),37,55.92088273,-3.275556564
Dumbryden Gardens (No. 46),38,55.921532,-3.273625374
Dumbryden Gardens (Nos. 19-36),39,55.921532,-3.272509575
Dumbryden Gardens (Nos. 66 front),40,55.92042584,-3.27311039
Dumbryden Grove,41,55.91847795,-3.273668289
Dundas Avenue,42,55.98498721,-3.387951851
East Pilton Park,43,55.97370215,-3.227148056
Easter Drylaw Park,44,55.96270204,-3.243541718
Echline Avenue,45,55.98738787,-3.409881592
Fairmilehead Park,46,55.90702915,-3.213157654
Falcon Road/Park,47,55.92881745,-3.205347061
Fauldburn Park,48,55.9567924,-3.306970596
Ferniehill Community Park,49,55.91013221,-3.130674362
Figgate Park,50,55.95179492,-3.127756119
Forth Terrace,51,55.98553938,-3.379518986
